,title,company,salary,summary
815,Durable Medical Equipment Technician and Delivery Driver,Capital Pharmacy and Medical Equipment,$12 - $18 an hour,\* Knowledge of medical equipment set up and repair is a plus.\* Must know Frankfort and surrounding area.\* Experience and mechanically inclined is a plus.
816,Kennel Assistant,Tin Woof Inn,$10 - $12 an hour,Developing playgroups and supervising dog playtimes.Kennel staff take care of all pets in the building as well as maintain the kennel and surrounding areas…
817,Administrative Specialist III,Commonwealth of Kentucky,"$2,427 - $3,884 a month","Serves as a point of contact for the Director’s office, including answering and directing phone calls and emails to appropriate Division, Department, or Cabinet…"
818,Assistant Hotel Manager,Confidential,"$40,000 - $45,000 a year","One (1) year hotel front desk/guest service experience strongly preferred.Ensure a safe and secure environment for guests, team members and hotel assets in…"
819,Circulation Clerk,Paul Sawyier Public Library,$10.99 an hour,Answers telephones and provides routine information or refers and transfers calls.Welcomes patron inquiries and provides limited reference assistance from the…
820,Management/Crew Members,Sonic Drive-In,Up to $16 an hour,Opportunities now exist for ALL Management and Hourly Positions throughout The Greater area of Lexington!*.High school diploma or equivalent required.
821,Part-Time Store Associate,ALDI,$12.70 an hour,Meet any state and local requirements for handling and selling alcoholic beverages.Adheres to cash policies and procedures to minimize losses.
822,Human Resources Specialist,Frankfort Plant Board,$21.96 an hour,"Qualified applicants must have a Bachelors degree in Human Resources, Public Administration, Business or related field plus, two years directly related human…"
823,Parks and Rec Seasonal/Part-Time,CITY OF FRANKFORT KY,,Age Requirement - 16 or older on first day.
824,Office Coordinator (entry level) - BenchMark Physical Therap...,BenchMark Rehab Partners,,An Office Coordinator is an entry-level office role that is responsible for maintaining pleasant and consistent daily operations of the clinic.
825,,Conduent,$14.25 an hour,We are actively seeking full-time agents to work from home and deliver excellent technical customer service on behalf of our client - a world leader in…
826,Barista,Starbucks,$10 - $11 an hour,"A job for which all ages, including older job seekers, are encouraged to apply.Job Types: Full-time, Part-time.Guest Services: 1 year (Preferred)."
827,Barista,Sage Garden Café,$10 - $15 an hour,Issue bills and accept payment.Deal with complaints or problems with a positive attitude.Collaborate with other restaurant servers and kitchen staff.
828,Front Desk Receptionist,"Frankfort Animal Clinic, PSC",$8 - $15 an hour,"Perform other clerical receptionist duties such as filing, photocopying, transcribing and faxing.Answer, screen and forward incoming phone calls."
829,Bank Teller/CSR,Whitaker Bank,,Perform routine branch and customer service duties; accept retail and commercial checking and savings deposits; process loan payments; cash checks and savings…
830,Durable Medical Equipment Technician and Delivery Driver,Capital Pharmacy and Medical Equipment,$12 - $18 an hour,\* Knowledge of medical equipment set up and repair is a plus.\* Must know Frankfort and surrounding area.\* Experience and mechanically inclined is a plus.
831,Kennel Assistant,Tin Woof Inn,$10 - $12 an hour,Developing playgroups and supervising dog playtimes.Kennel staff take care of all pets in the building as well as maintain the kennel and surrounding areas…
832,Part-Time Store Associate,ALDI,$12.70 an hour,Meet any state and local requirements for handling and selling alcoholic beverages.Adheres to cash policies and procedures to minimize losses.
833,Human Resources Specialist,Frankfort Plant Board,$21.96 an hour,"Qualified applicants must have a Bachelors degree in Human Resources, Public Administration, Business or related field plus, two years directly related human…"
834,Assistant Hotel Manager,Confidential,"$40,000 - $45,000 a year","One (1) year hotel front desk/guest service experience strongly preferred.Ensure a safe and secure environment for guests, team members and hotel assets in…"
835,Management/Crew Members,Sonic Drive-In,Up to $16 an hour,Opportunities now exist for ALL Management and Hourly Positions throughout The Greater area of Lexington!*.High school diploma or equivalent required.
836,Circulation Clerk,Paul Sawyier Public Library,$10.99 an hour,Answers telephones and provides routine information or refers and transfers calls.Welcomes patron inquiries and provides limited reference assistance from the…
837,Office Coordinator (entry level) - BenchMark Physical Therap...,BenchMark Rehab Partners,,An Office Coordinator is an entry-level office role that is responsible for maintaining pleasant and consistent daily operations of the clinic.
838,Administrative Specialist III,Commonwealth of Kentucky,"$2,427 - $3,884 a month","Serves as a point of contact for the Director’s office, including answering and directing phone calls and emails to appropriate Division, Department, or Cabinet…"
839,Parks and Rec Seasonal/Part-Time,CITY OF FRANKFORT KY,,Age Requirement - 16 or older on first day.
840,Revenue Auditor I,Commonwealth of Kentucky,,"Mostly at a desk using a computer and telephone.As an entry-level Revenue Auditor I for the Commonwealth of Kentucky, you will receive supervisory direction…"
841,Barista,Starbucks,$10 - $11 an hour,"A job for which all ages, including older job seekers, are encouraged to apply.Job Types: Full-time, Part-time.Guest Services: 1 year (Preferred)."
842,Bank Teller/CSR,Whitaker Bank,,Perform routine branch and customer service duties; accept retail and commercial checking and savings deposits; process loan payments; cash checks and savings…
843,Barista,Sage Garden Café,$10 - $15 an hour,Issue bills and accept payment.Deal with complaints or problems with a positive attitude.Collaborate with other restaurant servers and kitchen staff.
844,Kennel Assistant,Tin Woof Inn,$10 - $12 an hour,Developing playgroups and supervising dog playtimes.Kennel staff take care of all pets in the building as well as maintain the kennel and surrounding areas…
845,Front Desk Receptionist,"Frankfort Animal Clinic, PSC",$8 - $15 an hour,"Perform other clerical receptionist duties such as filing, photocopying, transcribing and faxing.Answer, screen and forward incoming phone calls."
846,Administrative Specialist III,Commonwealth of Kentucky,"$2,427 - $3,884 a month","Serves as a point of contact for the Director’s office, including answering and directing phone calls and emails to appropriate Division, Department, or Cabinet…"
847,Durable Medical Equipment Technician and Delivery Driver,Capital Pharmacy and Medical Equipment,$12 - $18 an hour,\* Knowledge of medical equipment set up and repair is a plus.\* Must know Frankfort and surrounding area.\* Experience and mechanically inclined is a plus.
848,Circulation Clerk,Paul Sawyier Public Library,$10.99 an hour,Answers telephones and provides routine information or refers and transfers calls.Welcomes patron inquiries and provides limited reference assistance from the…
849,Part-Time Store Associate,ALDI,$12.70 an hour,Meet any state and local requirements for handling and selling alcoholic beverages.Adheres to cash policies and procedures to minimize losses.
850,Management/Crew Members,Sonic Drive-In,Up to $16 an hour,Opportunities now exist for ALL Management and Hourly Positions throughout The Greater area of Lexington!*.High school diploma or equivalent required.
851,Parks and Rec Seasonal/Part-Time,CITY OF FRANKFORT KY,,Age Requirement - 16 or older on first day.
852,Office Coordinator (entry level) - BenchMark Physical Therap...,BenchMark Rehab Partners,,An Office Coordinator is an entry-level office role that is responsible for maintaining pleasant and consistent daily operations of the clinic.
853,Human Resources Specialist,Frankfort Plant Board,$21.96 an hour,"Qualified applicants must have a Bachelors degree in Human Resources, Public Administration, Business or related field plus, two years directly related human…"
854,Barista,Starbucks,$10 - $11 an hour,"A job for which all ages, including older job seekers, are encouraged to apply.Job Types: Full-time, Part-time.Guest Services: 1 year (Preferred)."
