,title,company,salary,summary
40,Hourly Warehouse Operations,TARGET,$18.50 an hour,"A role within Warehouse Operations means you’ll work quickly, safely and efficiently to handle product within the warehouse to ensure the accurate processing of…"
41,Customer Service Work From Home,Progressive,$17.25 - $19.25 an hour,"Must not live within 60 miles of Tuscon, AZ.Diverse, inclusive and welcoming culture with Employee Resource Groups.Pay Rate:$17.25 - $19.25, plus:"
42,Seasonal Associate - Famous Footwear,Famous Footwear,,"At Famous Footwear, we believe everyone deserves to feel a little famous. To us, famous isn’t about standing out in the crowd. It’s about feeling good where…"
43,Cannabis Cultivation Associate,TreeHouse Farms,,Must adhere to scheduled work hours (punctuality and attendance) Must stay current and adhere to all policy and regulations of the state of Arizona.
44,Barista/Cafe Server - Part-Time,Barnes & Noble,,Ensure all customer transactions are processed accurately and in a timely manner.Protect Company assets by ensuring the accurate execution of loss prevention…
45,United States Secret Service Criminal Investigator (Special...,United States Secret Service,"$49,016 - $139,916 a year","Show us you have the talent and background we need, and we will show you the rewards of joining the U.S. Secret Service as a Criminal Investigator (Special…"
46,Clinical Social Worker,Arizona Priority Care,,"Using a variety of therapeutic modalities, the MSW assists patients and families in the alleviation or resolution of social, financial, cultural and emotional…"
47,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
48,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
49,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
50,,Ultimate Medical Academy,$19.23 an hour,"Very strong phone and computer skills, including typing and data entry.And you don’t need to have experience working at a school for this role, because we…"
51,Customer Assistance Representative,American Airlines,,Applicable valid driver’s license as required by local authorities.Processing and completing credit card baggage transactions at kiosks.
52,Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
53,Transportation Security Officer (TSO),Transportation Security Administration,$17.10 - $24.43 an hour,"Per the President's 2014 Fair Employment memo, TSA policy is to not adversely consider a candidate based on unemployment or financial difficulty through no…"
54,"Retail Clerk Glendale, AZ - Fry's",Fry's Food Stores,$12.20 - $14.40 an hour,"A job for which all ages, including older job seekers, are encouraged to apply.Assist customers at checkout and bag groceries."
55,United States Secret Service Criminal Investigator (Special...,United States Secret Service,"$49,016 - $139,916 a year","Show us you have the talent and background we need, and we will show you the rewards of joining the U.S. Secret Service as a Criminal Investigator (Special…"
56,Hourly Warehouse Operations,TARGET,$18.50 an hour,"A role within Warehouse Operations means you’ll work quickly, safely and efficiently to handle product within the warehouse to ensure the accurate processing of…"
