,title,company,salary,summary
1264,Product Manager,DiversityX,"$67,000 - $120,000 a year",Barriers to entry such as technical committee review may exist at this level.Collaborates with product marketing to develop product marketing strategies based…
1265,Dock Worker (Part-time),Saia LTL Freight,$17.95 - $22.96 an hour,"Using safe lifting techniques, efficiently sorting, handling, loading and unloading freight into/from over-the-road equipment, containers, city trailers, and/or…"
1266,Database Developer,"PSST, LLC","$60,000 - $100,000 a year",Work closely with product managers and owners in providing technical guidance.Work closely with stakeholders and development team to architect and design…
1267,Ice Cream Scooper,Liège & Dairy Ice Cream + Waffles,From $10 an hour,"\*Fulfilling Ice Cream, Waffle, and Shake orders efficiently with a smile!\*Treating each customer as our #1.Job Types: Full-time, Part-time."
1268,Director of Social Media,Red Tag Digital,"$55,000 - $85,000 a year","Lead content creation and curation for clients’ social media, including managing an editorial calendar, writing content and guiding the development of visuals…"
1269,Student Success Coordinator,University of Louisville,"From $41,036 a year","Bachelor's degree in Guidance and Counseling, Education or related field and four years of related experience."
1270,Data Entry,MedAssist,,Cross References data to ensure accuracy and completeness; scans and edits for errors during entry.Maintenance of incoming and outgoing mail.
1271,Financial Controller-Part Time,Simmons College of Kentucky,"$60,000 a year","Acts as liaison with independent auditors, coordinates the annual independent financial audit, prepares or reviews the preparation of various schedules and the…"
1272,Warehouse Picker Order Selector,Keurig Dr Pepper,$17.35 an hour,"Accurately pick products by matching numbers and products using voice audio headset.Ability to work while using a headset, voice-activated, order selector…"
1273,Library Page L/U,Louisville Metro Government,$10.30 an hour,"Answers phone calls, provides information, takes messages, and routes calls.Must provide proof of social security number.Keeps rooms orderly and neat."
1274,Entry level - light production,Print Fulfillment Services,$8.25 - $18.00 an hour,We have immediate openings for entry level production workers or trainees to learn light production-related tasks.Maintain a clean work area.
1275,Head Chef,Oskar's Slider Bar,"$40,000 - $45,000 a year","You will manage the daily operations of the kitchen and oversee the kitchen staff to ensure that the highest standard of the company is met, and to ensure that…"
1276,Cosmotologist/Barber,Make the Cut,From $990 a week,All employees and customers are required to wear masks.Sanitization is ongoing and cleaning is top priority.Hair Styling: 2 years (Preferred).
1277,Warehouse Team Member,Amazon Workforce Staffing,From $15 an hour,"From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a variety of jobs.Work a set, full-time schedule."
1278,Restaurant Server,The Gasthaus German Restaurant,,"Masks, curbside take out, hand sanitizer etc.Open to applicants who do not have a college diploma.Social distancing guidelines in place."
1279,Tool and Die/Mold Repair Technician,Local Supplier,,"Have the ability to make judgment calls on tool repairs.Read all measuring tools (mics, calipers, indicators, scales, height gages, etc.)."
1280,Attorney,"Gwin Steinmetz & Baird, PLLC","From $70,000 a year","All applicants must be licensed to practice in the state of Kentucky.Insurance coverage, bad faith, and tort defense practice.Law Firm: 3 years (Required)."
1281,Chipotle Culinary Team Member and Hourly Managers,Chipotle,$11 - $16 an hour,Chipotle has been a leader of the industry in our food safety precautions using rigorous cleaning protocols and products to ensure the safety of our guests as…
1282,Amazon Delivery Associate (Driver),Amazon DSP,From $16.50 an hour,Have a valid driver's license.Must be comfortable driving and working in varying weather conditions.Able to get in and out of truck and walk up and down…
1283,Full-Time Store Associate,ALDI,$13.50 an hour,Meet any state and local requirements for handling and selling alcoholic beverages.Adheres to cash policies and procedures to minimize losses.
1284,Non-Emergency Medical Driver,zTrip KY,"$65,000 - $78,000 a year",No Felonies or DUI in last 10 years.
1285,Fire Recruit - 40 Hrs (NSISS),Louisville Metro Government,$24.12 an hour,"Must possess and maintain a valid driver's license.Participates in practical training including firefighting, fire prevention, fire science, use of…"
1286,2021 Supply Chain and Engineering Summer Internship,Johnson & Johnson Family of Companies,$21 an hour,"Our technologically advanced corporate environment focuses on developing individual engineering, business, and scientific skills."
1287,Warehouser/Material Handler - PT,Frito-Lay North America,$18.38 an hour,Safely operate a forklift after we provide you training and you obtain certification.Load trailers via carts or stack cases on the floor of a truck trailer.
1288,Student Success Coordinator,University of Louisville,"From $41,036 a year","Bachelor's degree in Guidance and Counseling, Education or related field and four years of related experience."
1289,Establishment Caseworker,Jefferson County Attorney's Office Child Support D...,"$27,040 a year","Receives and responds to all telephone or written requests for information.Stable work history in administrative work, community service, clerical office work…"
1290,Airline Customer Service Gate Agent,Piedmont Airlines,,Gate agents work together as a team to provide excellent customer service and meet corporate objectives.Previous employment as a front-line customer service…
1291,Sales Professional,Glenn CDJR of Louisville,,"Current driver’s license and a clean driving record,.Pursue leads, and follow-up with customers by making calls, returning emails, and voicemails,."
1292,,FedEx Ground PH US,Up to $19 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
1293,,FedEx Ground PH US,Up to $19 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
1294,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
1295,Manufacturing Production Team Member - Full-time – All Shift...,GE Appliances,,"Have fine motor dexterity, neck flexion, and be able to use air tools.Bending, stooping, squatting, crouching, kneeling, crawling, ladder/stair climbing,…"
