,title,company,salary,summary
96,Delivery Couriers,Henry Industries,Up to $30 an hour,"Courier agrees to arrange and execute the pickup and delivery of all documents,.Packages, parcels, merchandise, and other shipments on the route(s) for which…"
97,Hotel Front Desk Agent,"Marriott International, Inc.",$10 - $13 an hour,Our Front Desk/Guest Care Associates are responsible for assisting our guest at every turn - at first contact when the guest contacts the hotel to make a…
98,Package Handler,Amazon DSP,$15 an hour,Successful drivers put safety first and care deeply about customer expectations and satisfaction.Must be able to work in variable weather environments.
99,Warehouse Team Member,Amazon HVH,,"Take advantage of your 3-day weekend by working a full-time 4-day week.This is a full-time role, which at Amazon means you’ll get benefits starting your first…"
100,Delivery Associate,Amazon DSP,$15 - $18 an hour,Must be comfortable driving and working in varying weather conditions.Able to get in and out of van and walk up and down stairs through your shift.
101,Team Member/Waffle Enthusiast,Press Waffle Company,$11 - $13 an hour,"This is a part-time position for room to grow into full-time. *.Willing to work all stations (making, baking, decorating, cashier, cleaning, stocking, at Press…"
102,Helpdesk Technician I,Claims Management Resources Inc,$19 - $21 an hour,"Provides front line telephone, email, and walk up support for users.The Helpdesk Technician I serves as a central point to receive requests for assistance from…"
103,Helpdesk Technician I,Claims Management Resources,$19 - $21 an hour,"Provides front line telephone, email, and walk up support for users.The Helpdesk Technician I serves as a central point to receive requests for assistance from…"
104,Litigation Assistant,"Branum Law Firm, PLLC","$40,000 - $100,000 a year","Personal injury litigation legal assistant; paperless; Mac computers, office software, etc.High school or equivalent (Required)."
105,Controller/Accountant,Oklahoma City Housing Authority,"$5,173 - $7,759 a month","Responsible for Deposit & transfer guidance & determination of correct account assignment.Responsible for CEC accounting in the timely preparation, in…"
106,Laboratory Technician,Confidential,,6 months-2 years’ work experience in a CLIA-accredited clinical laboratory preferred.Quality assurance/quality control of highly complex lab.
107,,FedEx Ground PH US,Up to $16.50 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
108,Portfolio Manager,DRGinvest,"$60,000 - $65,000 a year","Lead a growing team and produce best-in-class owner and resident satisfaction, as well as property operating performance.100% accuracy of Payables each month."
109,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
110,Representative Enroller,Global Medevac,"$5,000 - $15,000 a month",Anyone can become a quality enroller into our extremely valuable membership program even if you don’t have a background in marketing or sales.
111,Package Handler,Amazon DSP,$15 an hour,Successful drivers put safety first and care deeply about customer expectations and satisfaction.Must be able to work in variable weather environments.
112,Warehouse Team Member,Amazon HVH,,"Take advantage of your 3-day weekend by working a full-time 4-day week.This is a full-time role, which at Amazon means you’ll get benefits starting your first…"
113,Delivery Couriers,Henry Industries,Up to $30 an hour,"Courier agrees to arrange and execute the pickup and delivery of all documents,.Packages, parcels, merchandise, and other shipments on the route(s) for which…"
114,Hotel Front Desk Agent,"Marriott International, Inc.",$10 - $13 an hour,Our Front Desk/Guest Care Associates are responsible for assisting our guest at every turn - at first contact when the guest contacts the hotel to make a…
115,Delivery Associate,Amazon DSP,$15 - $18 an hour,Must be comfortable driving and working in varying weather conditions.Able to get in and out of van and walk up and down stairs through your shift.
116,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
117,Team Member/Waffle Enthusiast,Press Waffle Company,$11 - $13 an hour,"This is a part-time position for room to grow into full-time. *.Willing to work all stations (making, baking, decorating, cashier, cleaning, stocking, at Press…"
118,Cannabis Trimmer,Cannabis Trimming,$75 - $250 a day,A good job for someone just entering the workforce or returning to the workforce with limited experience and education.High school or equivalent (Preferred).
119,Helpdesk Technician I,Claims Management Resources Inc,$19 - $21 an hour,"Provides front line telephone, email, and walk up support for users.The Helpdesk Technician I serves as a central point to receive requests for assistance from…"
120,Helpdesk Technician I,Claims Management Resources,$19 - $21 an hour,"Provides front line telephone, email, and walk up support for users.The Helpdesk Technician I serves as a central point to receive requests for assistance from…"
121,Litigation Assistant,"Branum Law Firm, PLLC","$40,000 - $100,000 a year","Personal injury litigation legal assistant; paperless; Mac computers, office software, etc.High school or equivalent (Required)."
122,,FedEx Ground PH US,Up to $16.50 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
123,Representative Enroller,Global Medevac,"$5,000 - $15,000 a month",Anyone can become a quality enroller into our extremely valuable membership program even if you don’t have a background in marketing or sales.
124,Hotel Front Desk Agent,"Marriott International, Inc.",$10 - $13 an hour,Our Front Desk/Guest Care Associates are responsible for assisting our guest at every turn - at first contact when the guest contacts the hotel to make a…
125,Warehouse Team Member,Amazon HVH,,"Take advantage of your 3-day weekend by working a full-time 4-day week.This is a full-time role, which at Amazon means you’ll get benefits starting your first…"
126,Administrative Officer,US Department of Housing and Urban Development,"$92,143 - $129,116 a year","Ensure the highest level of collaboration among all administrative staff, both on-site and remote, and, as needed, non-administrative staffs to satisfy the…"
127,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
128,Cannabis Trimmer,Cannabis Trimming,$75 - $250 a day,A good job for someone just entering the workforce or returning to the workforce with limited experience and education.High school or equivalent (Preferred).
129,Package Handler,Amazon DSP,$15 an hour,Successful drivers put safety first and care deeply about customer expectations and satisfaction.Must be able to work in variable weather environments.
130,Database Records Specialist,Oklahoma Medical Research Foundation,,Performs data entry and maintains the donor database integrity.Prefer one (1) year of data entry experience.Verifies and categorizes gift details by gift type…
131,Customer Service Agent,Williams-Sonoma Inc. Customer Care Centers,$14 an hour,"Agents are trained in taking calls to assist customers with anything from placing orders and facilitating returns, to locating products and scheduling…"
132,Cashier - The Children's Hospital - $11.78/hr +,Sodexo,$11.78 an hour,"Operates a cash register (or equivalent), receives payments of cash, checks and charges from customers or employees for goods or services, making change and…"
133,Warehouse Associate - Oklahoma City,Walmart,$16.75 an hour,"Communicate with (or to) individuals or groups verbally and/or in writing (e.g. customers, suppliers, associates).High School diploma, GED, or Equivalent."
134,Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…"
135,Production Operator,Johns Manville,$19.34 - $25.89 an hour,Learn the manufacturing process and operate manufacturing equipment.Trade school diploma or relevant trade certifications (preferred).
136,Genius,Apple,,"Even if you’re juggling more than one customer, you stay conscious of their time demands as well as your own.After determining whether repairs can be done or a…"
137,,FedEx Ground PH US,Up to $16.50 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
138,Registered Nurse Med/Surg,CK Healthcare Staffing,$35 - $42 an hour,Current state license as a Registered Nurse.Ensuring compliance with all applicable federal and state laws and all company policies.
139,Experienced CNC machine Programmer/Operator,"Weibee Steel, Inc.",$17 - $20 an hour,Must bring in drivers license and have reliable transportation.May be asked to display working knowledge of programming CNC machine during interview.
140,Delivery Couriers,Henry Industries,Up to $30 an hour,"Courier agrees to arrange and execute the pickup and delivery of all documents,.Packages, parcels, merchandise, and other shipments on the route(s) for which…"
141,General Superintendent,JE Dunn,,"Partners with field leadership to establish field staffing for their assigned project.Bachelor’s degree in construction management, engineering or related…"
142,Vast - PM Steward,Coury Hospitality,,"Maintains the cleanliness of the storage areas, tools, equipment, carts and other areas/items as directed by Supervisor or Manager on duty."
143,Package Handler,Amazon DSP,$15 an hour,Successful drivers put safety first and care deeply about customer expectations and satisfaction.Must be able to work in variable weather environments.
144,Warehouse Team Member,Amazon HVH,,"Take advantage of your 3-day weekend by working a full-time 4-day week.This is a full-time role, which at Amazon means you’ll get benefits starting your first…"
145,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
146,Cannabis Trimmer,Cannabis Trimming,$75 - $250 a day,A good job for someone just entering the workforce or returning to the workforce with limited experience and education.High school or equivalent (Preferred).
147,WAREHOUSE WORKER (Distribution Center OKC/FT),Mathis Brothers Furniture,$15 - $18 an hour,"EXAMPLES OF WORKED PERFORMED: General warehouse duties such as, but not limited to: loading and unloading of trucks, make sure all merchandise is labeled with a…"
148,Administrative Officer,US Department of Housing and Urban Development,"$92,143 - $129,116 a year","Ensure the highest level of collaboration among all administrative staff, both on-site and remote, and, as needed, non-administrative staffs to satisfy the…"
149,Cashier - The Children's Hospital - $11.78/hr +,Sodexo,$11.78 an hour,"Operates a cash register (or equivalent), receives payments of cash, checks and charges from customers or employees for goods or services, making change and…"
150,Customer Service Agent,Williams-Sonoma Inc. Customer Care Centers,$14 an hour,"Agents are trained in taking calls to assist customers with anything from placing orders and facilitating returns, to locating products and scheduling…"
