,title,company,salary,summary
140,Part Time Ice Cream Scooper NEW STORE!!,Chocolate Shoppe Ice Cream,$8 - $10 an hour,This is a part time position with flexible scheduling.$8.00-$10.00/ hr plus tips and free ice cream.*.
141,Intern *,Morgan Stanley,,"Gain industry and organizational knowledge through daily business interactions and job assignments.Develop business, financial and analytical skills needed for…"
142,Amazon Warehouse Worker - 4 Day Work Week,Amazon Workforce Staffing,From $15 an hour,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
143,Library Page,"City of Madison, WI",$15 an hour,"Perform circulation-related duties (e.g. check out and check in library materials, collect fines, issue and reissue library cards, process holds, retrieve…"
144,Amazon Picker Packer,Amazon Workforce Staffing,From $15 an hour,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
145,Police Officer,Madison Police Department,"$56,462 - $80,750 a year","As a veteran police officer you would attend our accelerated Academy, (taught in-house by MPD Training Staff, non-residential, Monday-Friday, 8a-4p, with full…"
146,Education Program Specialist,US Department of Veterans Affairs,"$53,433 - $69,462 a year",This experience must have been of such character and diversity to demonstrate that the applicant possesses an understanding of the field comparable to that…
147,Membership Experience and Programs Coordinator,BioForward Wisconsin,$24 - $29 an hour,"Must have a valid Wisconsin driver’s license.Write informational postings and articles for social media, web site, newsletters."
148,Package Sorter - Immediate Hire,Amazon Workforce Staffing,From $15 an hour,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
149,Receptionist/Administrative Assistant,Buit Mobility Solutions,$12 - $16 an hour,Computer skills are needed as you will also do ordering and order entry.Maintaining supplies for front office.Matching packing lists with invoices.
150,Claims Adjuster Trainee,Progressive,,"Bachelor's degree or a combined total of five years of work experience and/or college education.Diverse, inclusive & welcoming culture with Employee Resource…"
151,Dental Assistant/Receptionist,Monroe Street Family Dental,$15 - $18 an hour,Answering and routing phone calls.A good job for someone just entering the workforce or returning to the workforce with limited experience and education.
152,Community Center/Recreation Coordinator,The City of Fitchburg,$19.75 - $22.57 an hour,"This position as our Community Center/Recreation Coordinator will coordinate the use of the community center facilities and park shelters, provide assistance…"
153,Bookseller,"Half Price Books, Records, Magazines, Inc.",,"Every day, Booksellers get to work on a variety of tasks, including delivering quality customer service, sharing their knowledge about books, movies, and music…"
154,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
155,Library Page,"City of Madison, WI",$15 an hour,"Perform circulation-related duties (e.g. check out and check in library materials, collect fines, issue and reissue library cards, process holds, retrieve…"
156,Intern *,Morgan Stanley,,"Gain industry and organizational knowledge through daily business interactions and job assignments.Develop business, financial and analytical skills needed for…"
157,Amazon Warehouse Worker - 4 Day Work Week,Amazon Workforce Staffing,From $15 an hour,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
158,Entry Level Support Specialist,Advicent Solutions,,You will deliver outstanding customer support while answering user questions and communicating technical solutions in a professional manner.
159,Amazon Picker Packer,Amazon Workforce Staffing,From $15 an hour,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
160,Lab Sample Control and Rec. Tech - Objective,Wisconsin State Laboratory of Hygiene,From $17 an hour,"High school or equivalent (Preferred).Laboratory Experience: 1 year (Preferred).Sanitizing, disinfecting, or cleaning procedures in place."
161,Delivery Associate,Amazon DSP,$17.00 - $18.50 an hour,Must be comfortable driving and working in varying weather conditions.Able to get in and out of a van and walk up and down stairs through your shift.
162,Medical Imaging Aide/Transporter,SSM Health,,"Works in a constant state of alertness and safe manner.Assists technologists with filing, delivering and retrieving patient reports and charts, matching films…"
163,,One City Schools,"From $75,000 a year","Ensure compliance with all federal, state, and local employment laws.Knowledge of and experience with educator recruitment and certification, preferred but not…"
164,Customer Service Intern,Pilcrow Agency,"$45,000 - $78,000 a year","Manage large amounts of incoming calls.Provide accurate, valid and complete information.Handle customer complaints, provide appropriate solutions and follow…"
165,Bookseller,"Half Price Books, Records, Magazines, Inc.",,"Every day, Booksellers get to work on a variety of tasks, including delivering quality customer service, sharing their knowledge about books, movies, and music…"
166,Community Center/Recreation Coordinator,The City of Fitchburg,$19.75 - $22.57 an hour,"This position as our Community Center/Recreation Coordinator will coordinate the use of the community center facilities and park shelters, provide assistance…"
167,Public Information Officer - Marketing Specialist,Dane County,$24.58 - $31.64 an hour,"Must have a valid driver’s license, or access to reliable personal transportation, or equivalent.Any combination of training and experience equivalent to a…"
168,Police Officer,Madison Police Department,"$56,462 - $80,750 a year","As a veteran police officer you would attend our accelerated Academy, (taught in-house by MPD Training Staff, non-residential, Monday-Friday, 8a-4p, with full…"
169,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
170,Part Time Ice Cream Scooper NEW STORE!!,Chocolate Shoppe Ice Cream,$8 - $10 an hour,This is a part time position with flexible scheduling.$8.00-$10.00/ hr plus tips and free ice cream.*.
171,Library Page,"City of Madison, WI",$15 an hour,"Perform circulation-related duties (e.g. check out and check in library materials, collect fines, issue and reissue library cards, process holds, retrieve…"
172,Amazon Warehouse Worker - 4 Day Work Week,Amazon Workforce Staffing,From $15 an hour,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
173,Medical Imaging Aide/Transporter,SSM Health,,"Works in a constant state of alertness and safe manner.Assists technologists with filing, delivering and retrieving patient reports and charts, matching films…"
174,Amazon Picker Packer,Amazon Workforce Staffing,From $15 an hour,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
175,,Aquafix Inc.,$17 - $19 an hour,The current position is for a production technician who has a valid driver’s license and will be responsible for assisting with blending and packaging liquid…
176,Entry Level Support Specialist,Advicent Solutions,,You will deliver outstanding customer support while answering user questions and communicating technical solutions in a professional manner.
177,Human Resources Manager,One City Schools,"From $75,000 a year","Ensure compliance with all federal, state, and local employment laws.Knowledge of and experience with educator recruitment and certification, preferred but not…"
