,title,company,salary,summary
765,,FedEx Ground PH US,$17 - $20 an hour ++,"From I-95, take the Jimmy Deloach (106) exit and go WEST on Jimmy Deloach, travel about 3 miles until you see Morgan Lakes Industrial Blvd on the RIGHT."
766,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
767,Full-Time (30-35 Hours) Maid/House Cleaner $700-800 paid Wee...,Hubbard's Maid Service,$700 - $800 a week,Work closely with our trainers as they teach you how to make top pay in a few weeks time.Get paid what you're worth ($700-800 for 30-35 hours).
768,Veterinary Receptionist/Assistant,Allison Animal Care,$10 - $18 an hour,"Answering and routing phone calls.Experience working in a veterinary clinic is preferred.Job Types: Full-time, Part-time."
769,Front Desk Receptionist,Chatham Orthopaedic Associates,$12 - $15 an hour,"Duties include taking co-pays and account payments, scheduling appointments, Phone calls, verifying insurance and providing patients with necessary paperwork…"
770,Internal Revenue Agent,Internal Revenue Service,,"In this position, you will use your professional knowledge and skill in accounting and auditing techniques and practices to examine various tax returns,…"
771,Customer Service Representative,SNF Holding Company,From $16 an hour,"Ability to address issues, follow up, and implement solutions as required.Strong phone contact handling skills and active listening."
772,Front Desk Receptionist,Medical Office,$9 - $18 an hour,Answering and routing phone calls.At least one year of experience in a doctor's office.Medical office: 1 year (Required).
773,Dental Office - Front Desk Administrator,Confidential,$15 - $20 an hour,"Answering phones with a smile, Checking patients in/out, Updating patient information, coordinating daily patient flow and practice operations."
774,Dental Receptionist,Confidential,$15 - $19 an hour,Full-Time Front Office Dental Staff.Minimum 2 years dental experience.Trained in EagleSoft practice software management system.
775,DHS/DFCS/SS - Social Services Specialist 1 (CRRU) -00017152,"Family and Children Services, Division of - DFCS","$35,388 a year",Current Georgia state government employees will be subject to State Personnel Board rule provisions.Bachelor's degree from an accredited college or university.
776,Appointment Representative,Optim Healthcare,,Interviews patients and referring physician's office personnel via telephone to establish the reason for the office appointment request.
777,Scheduler / Dispatcher,Hubbard's Maid Service,$800 - $900 a week,The scheduler will be answering phones and emails from our customers in a professional manner in order to provide them with exceptional customer service in a…
778,RURAL CARR ASSOC/SRV REG RTE,United States Postal Service,$19.06 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Loads mail in vehicle."
779,Transportation Security Officer (TSO),Transportation Security Administration,"$34,446 - $49,208 a year","Per the President's 2014 Fair Employment memo, TSA policy is to not adversely consider a candidate based on unemployment or financial difficulty through no…"
780,Warehouse Package Handler,FedEx Ground PH US,$17 - $20 an hour ++,"From I-95, take the Jimmy Deloach (106) exit and go WEST on Jimmy Deloach, travel about 3 miles until you see Morgan Lakes Industrial Blvd on the RIGHT."
781,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
782,Full-Time (30-35 Hours) Maid/House Cleaner $700-800 paid Wee...,Hubbard's Maid Service,$700 - $800 a week,Work closely with our trainers as they teach you how to make top pay in a few weeks time.Get paid what you're worth ($700-800 for 30-35 hours).
783,Internal Revenue Agent,Internal Revenue Service,,"In this position, you will use your professional knowledge and skill in accounting and auditing techniques and practices to examine various tax returns,…"
784,DHS/DFCS/SS - Social Services Specialist 1 (CRRU) -00017152,"Family and Children Services, Division of - DFCS","$35,388 a year",Current Georgia state government employees will be subject to State Personnel Board rule provisions.Bachelor's degree from an accredited college or university.
785,Veterinary Receptionist/Assistant,Allison Animal Care,$10 - $18 an hour,"Answering and routing phone calls.Experience working in a veterinary clinic is preferred.Job Types: Full-time, Part-time."
786,RURAL CARR ASSOC/SRV REG RTE,United States Postal Service,$19.06 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Loads mail in vehicle."
787,Front Desk Receptionist,Chatham Orthopaedic Associates,$12 - $15 an hour,"Duties include taking co-pays and account payments, scheduling appointments, Phone calls, verifying insurance and providing patients with necessary paperwork…"
