,title,company,salary,summary
83,Dishwasher - LCMC Children's Hospital - Food,Aramark,,"Ensure guest satisfaction by maintaining all dishes, pots, pans, silverware, glasses, equipment, and kitchen utensils are cleaned and sanitized."
84,Receptionist/Customer Care,Grover & Mansfield Attorney at Law,From $19 an hour,"A good job for someone just entering the workforce or returning to the workforce with limited experience and education.Job Types: Full-time, Temporary."
85,Assistant to the Director,Confidential,$15 - $20 an hour,"Seeking a well presented, well spoken, well and mild mannered individual who is reliable and dependable, trustworthy, polite, can follow direction and work…"
86,Front Desk Dental Receptionist,enlightenDENTAL,$15 - $18 an hour,"Answering and routing phone calls.Accuracy, honesty, integrity, someone who is DETAIL ORIENTED and an ability to always see room for improvement within one’s…"
87,Special Agent,Federal Bureau of Investigation,"$62,556 - $80,721 a year","Possess a valid driver’s license with at least six months driving experience.You will have an opportunity to work with federal, state and local law enforcement…"
88,Multidisciplinary Arts Curator,Contemporary Arts Center,"$55,000 - $85,000 a year","Actively participate in national field networks; grow relationships with partners locally.Committed to social justice, racial equity, and artists engaging with…"
89,Quality Assurance Specialist,US Department of Defense,"$64,649 - $84,049 a year","For Military Spouse Preference (MSP): You must provide a signed Military Spouse PPP Self-certification Checklist, PCS orders/verification of duty location…"
90,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
91,IT Tech II,Technology Lab,"$55,000 - $70,000 a year","+ 3+ years of experience working in this high-speed, fast paced and ever-changing field.+ Coordinate with Sales Staff and Management, as well as other…"
92,Customer Care Specialist,Pizzuto Hansen & Partners,"$45,000 - $86,400 a year","Daily tasks include inbound/outbound calls, scheduling new appointments, client policy reviews, data entry, and servicing requested benefits."
93,,"Loomis Armored US, LLC",$13 an hour,"Ability to perform simple computer data entry.Separate currency, coin, and/or check deposits received from bank, ATM, and/or commercial customers providing…"
94,Assistant to the Director,Confidential,$15 - $20 an hour,"Seeking a well presented, well spoken, well and mild mannered individual who is reliable and dependable, trustworthy, polite, can follow direction and work…"
95,Media Producer,The Historic New Orleans Collection,,"This position also requires a proficiency in Microsoft Office and an ability to learn and use museum specific software/databases, knowledge of current…"
96,Restaurant Server,Houston's Restaurant,$100 - $300 a day,"A job for which all ages, including older job seekers, are encouraged to apply.Previous experience not required; In depth training provided from the outset."
97,Kennel Technician/Camp Counselor: Work with Dogs!!!!,CAMP BOW WOW NEW ORLEANS,From $11 an hour,Complete Pet First Aid and Doggy CPR certification within 60 days of hire (we will provide training and pay for certification).
98,MISSION SUPPORT SPECIALIST (LOGISTICS),US Department of Homeland Security,"$64,649 - $84,049 a year","Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other…"
99,Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
100,Human Resources Coordinator,"Marriott International, Inc",,Answer phone calls and record messages.Speak with others using clear and professional language; prepare and review written documents accurately and completely;…
101,Airport Operations Crew PT,JetBlue Airways Corporation,,"Depending upon location, may need to possess and maintain a valid Driver License and a driving record that meets JetBlue Airways’ insurance standards."
102,Social Media Coordinator,Joliet Landscaping Pros,$10 an hour,This is an entry level position and no experience necessary.Looking for an employee to work 100% remote from home to assists in the growth of our cleaning…
103,Quality Assurance Specialist,US Department of Defense,"$64,649 - $84,049 a year","For Military Spouse Preference (MSP): You must provide a signed Military Spouse PPP Self-certification Checklist, PCS orders/verification of duty location…"
104,Special Agent,Federal Bureau of Investigation,"$62,556 - $80,721 a year","Possess a valid driver’s license with at least six months driving experience.You will have an opportunity to work with federal, state and local law enforcement…"
105,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
106,Customer Care Specialist,Pizzuto Hansen & Partners,"$45,000 - $86,400 a year","Daily tasks include inbound/outbound calls, scheduling new appointments, client policy reviews, data entry, and servicing requested benefits."
107,IT Tech II,Technology Lab,"$55,000 - $70,000 a year","+ 3+ years of experience working in this high-speed, fast paced and ever-changing field.+ Coordinate with Sales Staff and Management, as well as other…"
108,,"Loomis Armored US, LLC",$13 an hour,"Ability to perform simple computer data entry.Separate currency, coin, and/or check deposits received from bank, ATM, and/or commercial customers providing…"
109,Media Producer,The Historic New Orleans Collection,,"This position also requires a proficiency in Microsoft Office and an ability to learn and use museum specific software/databases, knowledge of current…"
110,Part-Time Employment Opportunities - Sazerac House,Sazerac Company,$13.50 - $19.50 an hour,1 year Experience dealing with VIP guests.1 year Experience dealing with VIP guests.Creates and develops a personal development plan with management to…
111,Restaurant Team Member,Five Guys Burgers & Fries,Up to $13 an hour,"A unique crew bonus program is also available, which gives you the opportunity to earn cash bonuses twice a week, allowing you to earn a much higher income."
112,Quality Assurance Specialist,US Department of Defense,"$64,649 - $84,049 a year","For Military Spouse Preference (MSP): You must provide a signed Military Spouse PPP Self-certification Checklist, PCS orders/verification of duty location…"
113,Restaurant Server,Houston's Restaurant,$100 - $300 a day,"A job for which all ages, including older job seekers, are encouraged to apply.Previous experience not required; In depth training provided from the outset."
114,Plumbers,Carter & Sons Plumbing & Heating,$17 - $30 an hour,"Must pass Drug test, have own transportation and hand tools.Licensed Plumbers and Experienced Plumber Helpers for Commercial Plumbing work in area from Baton…"
115,Website Administrator,Papier Plume,From $15 an hour,"Customer service: Answer customers email and phone calls, correct problems.Work with Photoshop or design programs for pictures, advertisement and promotions."
116,Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
117,Quality Assurance Coordinator,"EXCELth, INC.","$28,026 - $105,904 a year","Education* Bachelor degree in Public Health, Health Science, Nursing, or related field (MS in Nursing / RN preferred) and 5 years of Nursing experience and 2…"
118,Project Manager Assistant,"Picardie Timber Frame, LLC",From $20 an hour,"Use of Adobe tools or Bluebeam.Ability to read and comprehend construction plans and specifications.Bachelor’s in Construction Management, Engineering, or…"
119,Vivid Professional Development Program,Vivid Ink Graphics,$16 - $20 an hour,Only full-time employees eligible.Personal protective equipment provided or required.
120,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
121,IT Tech II,Technology Lab,"$55,000 - $70,000 a year","+ 3+ years of experience working in this high-speed, fast paced and ever-changing field.+ Coordinate with Sales Staff and Management, as well as other…"
122,Customer Care Specialist,Pizzuto Hansen & Partners,"$45,000 - $86,400 a year","Daily tasks include inbound/outbound calls, scheduling new appointments, client policy reviews, data entry, and servicing requested benefits."
123,,"Loomis Armored US, LLC",$13 an hour,"Ability to perform simple computer data entry.Separate currency, coin, and/or check deposits received from bank, ATM, and/or commercial customers providing…"
124,Media Producer,The Historic New Orleans Collection,,"This position also requires a proficiency in Microsoft Office and an ability to learn and use museum specific software/databases, knowledge of current…"
125,Restaurant Server,Houston's Restaurant,$100 - $300 a day,"A job for which all ages, including older job seekers, are encouraged to apply.Previous experience not required; In depth training provided from the outset."
126,Assistant to the Director,Confidential,$15 - $20 an hour,"Seeking a well presented, well spoken, well and mild mannered individual who is reliable and dependable, trustworthy, polite, can follow direction and work…"
127,Kennel Technician/Camp Counselor: Work with Dogs!!!!,CAMP BOW WOW NEW ORLEANS,From $11 an hour,Complete Pet First Aid and Doggy CPR certification within 60 days of hire (we will provide training and pay for certification).
128,Human Resources Coordinator,"Marriott International, Inc",,Answer phone calls and record messages.Speak with others using clear and professional language; prepare and review written documents accurately and completely;…
129,MISSION SUPPORT SPECIALIST (LOGISTICS),US Department of Homeland Security,"$64,649 - $84,049 a year","Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other…"
130,Warehouse Package Handler,FedEx Ground PH US,,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
131,Airport Operations Crew PT,JetBlue Airways Corporation,,"Depending upon location, may need to possess and maintain a valid Driver License and a driving record that meets JetBlue Airways’ insurance standards."
132,Social Media Coordinator,Joliet Landscaping Pros,$10 an hour,This is an entry level position and no experience necessary.Looking for an employee to work 100% remote from home to assists in the growth of our cleaning…
