,title,company,salary,summary
12,Parks and Recreation Worker,City of St. Paul,$12.50 - $36.00 an hour,"Handles cash for admission, sales, and rental transactions; assists in accounting for cash.Sells admission tickets and merchandise; operates a cash register…"
13,Special Agent,Federal Bureau of Investigation,"$62,556 - $80,721 a year","Possess a valid driver’s license with at least six months driving experience.You will have an opportunity to work with federal, state and local law enforcement…"
14,Mental Health Associate,Regions Hospital,,Holds a bachelor's or higher degree in one of the behavioral sciences or related fields from an accredited college or university;
15,,FedEx Ground PH US,Up to $19 an hour ++,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
16,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
17,COVID-19 Testing Site Administrative Support Positions ($20-...,GS Labs - Rapid COVID-19 Test Clinics,$20 - $22 an hour,"This position requires physical mobility, manual dexterity, the ability to listen, read, and write.Qualified candidates will be contacted promptly and may be…"
18,Restaurant Server,The Pillbox Tavern,$10 - $30 an hour,Issue bills and accept payment.Deal with complaints or problems with a positive attitude.A good job for someone just entering the workforce or returning to…
19,Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…"
20,Medical Secretary,"Minneapolis Radiation Oncology, P.A.",$17 - $20 an hour,"Duties include greeting and registering patients, appointment scheduling, patient chart prep and answering phones.EPIC software experience strongly preferred."
21,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
22,Office Assistant (10-Month Position),South St. Paul Public Schools,$21.65 an hour,"Perform clerical duties such as typing and distribution of correspondence, forms, and surveys, answering phones, schedule appointments, greeting and screening…"
23,Customer Service Representative,Comcast,Up to $21 an hour,"Interacts with customers via telephone, e-mail, or face-to-face to assist with a variety of customer inquiries and issues."
24,Parks and Recreation Worker,City of St. Paul,$12.50 - $36.00 an hour,"Handles cash for admission, sales, and rental transactions; assists in accounting for cash.Sells admission tickets and merchandise; operates a cash register…"
25,Special Agent,Federal Bureau of Investigation,"$62,556 - $80,721 a year","Possess a valid driver’s license with at least six months driving experience.You will have an opportunity to work with federal, state and local law enforcement…"
26,General Administrator (Vaccine),USA Mobile Drug Testing,$17 an hour,You must have a clean background check in order to work on these sites.A good job for someone just entering the workforce or returning to the workforce with…
27,Seasonal Hourly Warehouse Operations,TARGET,From $18 an hour,"A role within Warehouse Operations means you’ll work quickly, safely and efficiently to handle product within the warehouse to ensure the accurate processing of…"
28,Forklift Operator - St Paul MN,WestRock,$22.73 an hour,"Duties may include hauling using powered industrial vehicles, loading trailers or railroad cars, operating a front-end loader, maintaining department…"
29,"Customer Service Work From Home, FULL-TIME - $14/hr",Sun Country Airlines,$14 an hour,"Provide timely and courteous responses to incoming phone calls.Demonstrated knowledge and aptitude to use computers and related technology skillfully,…"
30,,FedEx Ground PH US,Up to $19 an hour ++,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
31,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
32,COVID-19 Testing Site Administrative Support Positions ($20-...,GS Labs - Rapid COVID-19 Test Clinics,$20 - $22 an hour,"This position requires physical mobility, manual dexterity, the ability to listen, read, and write.Qualified candidates will be contacted promptly and may be…"
33,Restaurant Server,The Pillbox Tavern,$10 - $30 an hour,Issue bills and accept payment.Deal with complaints or problems with a positive attitude.A good job for someone just entering the workforce or returning to…
