,Unnamed: 0,City,title,company,salary,summary
11,11,"Baltimore, MD",Secretary (Office Automation),US Department of Health And Human Services,"$60,129 - $78,167 a year","Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other…"
12,12,"Baltimore, MD",Patient Escort,Johns Hopkins Bayview Medical Center,,"Work Week: Full Time (40 or 36 hours).Transports patients and specimens to designated locations within the Hospital.Full Time, Day Shift, (40 hours a week)."
13,13,"Baltimore, MD",Buyer I,"University of Maryland, Baltimore","$40,000 - $48,000 a year","Under general supervision, the selected candidate performs technical work involving limited discretion in the procurement of goods and services such as…"
14,14,"Baltimore, MD",Administrative Coordinator - Health Department,"City of Baltimore, MD","$44,263 - $53,504 a year",Successful applicants will be placed on the employment certified eligible list for at least six months.EXPERIENCE: Have five years of experience in office…
15,15,"Baltimore, MD",Cashiers and Clerks,Giant Food,$11 - $14 an hour,"All customers are required to wear a mask, social distancing practices are in place, plexiglass is installed in customer service areas, curbside pickup…"
16,16,"Baltimore, MD",Crew,Trader Joe's,$13 - $16 an hour,Operating the cash register in a fun and efficient manner.Our Crew Members create a warm and friendly shopping experience in our stores.
17,17,"Baltimore, MD",Package Handler (Flexible Shifts Available) - Earn up to $16...,Amazon,Up to $16.40 an hour,Part-time and full-time hours are available.Shifts are 3-5 hours.Choose up to 10 shifts each week based on schedule and availability.
18,18,"Baltimore, MD",Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
19,19,"Baltimore, MD",,"LaserShip, Inc.",$12.50 an hour,"A job for which all ages, including older job seekers, are encouraged to apply.Our Freight Coordinator position works within a team to unload small packages…"
20,20,"Baltimore, MD",Staff Officer,National Security Agency,"$49,157 - $78,167 a year","Degree in Public Policy, Political Science, Communications, Law, or Business Administration is preferred, but a degree in any field is acceptable."
21,21,"Baltimore, MD",Entry Level Management - Interview Today - Customer Service,THE WCP Group,"$800 - $1,200 a week","Must have a reliable vehicle and valid driver's license.Skills that work well with our company are: sales and marketing, hospitality, retail experience,…"
22,22,"Baltimore, MD",Communications Officer (Entry to Experienced Level),National Security Agency,"$49,157 - $78,167 a year","Examples include building state-of-the-art websites and web applications for the Agency intranet, performing closed captioning at a live event, designing logos,…"
23,23,"Baltimore, MD",Retail Sales Associate / Medical Cannabis Community,Mr Smoke,From $13 an hour,"Accurately and efficiently ring on registers and accurately maintain all cash and paperwork at the registers.13.00 / hr. to start, 14.00 / hr. after training*."
24,24,"Baltimore, MD",Special Assistant - Recreation and Parks,"City of Baltimore, MD","$47,491 - $58,241 a year","Screens mail, telephone calls and visitors using sound judgement; decides which matters come to superior's attention; provides information or answers to routine…"
25,25,"Baltimore, MD",OFFICE CLERK II (RECEPTIONIST),State of Maryland,"$27,468 - $35,006 a year",The second main purpose of this position is to accurately respond to customer telephone inquiries and requests for information concerning the licensing status…
26,26,"Baltimore, MD",United States Secret Service Officer (Uniformed Division),United States Secret Service,"$61,796 - $106,302 a year","Traveling in support of the Presidential, Vice Presidential, and foreign heads of state/government missions."
27,27,"Baltimore, MD",cashier,Michaels,,Participate in the truck un-load and stocking processes to ensure truck standards are followed and completed within budget.Execute cash handling to standards.
28,28,"Baltimore, MD",Part-Time Stocker,Aldi,$15.20 an hour,"When you join our team as a Stocker, you’ll be responsible for stocking, organizing new incoming inventory and safely operating machinery."
29,29,"Baltimore, MD",Front Desk Receptionist,Confidential,$12 - $16 an hour,"Duties include: making patient appointments, collecting copayments, prescription bridges, taking messages, online scheduling, sending medical records,…"
30,30,"Baltimore, MD",Cashiers and Clerks,Giant Food,$11 - $14 an hour,"All customers are required to wear a mask, social distancing practices are in place, plexiglass is installed in customer service areas, curbside pickup…"
31,31,"Baltimore, MD",Seasonal Warehouse Team Member,Amazon HVH,,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own."
32,32,"Baltimore, MD",Gelato Scooper,Pitango Gelato,$10 - $11 an hour,"Cash and credit card tips.All customers required to wear masks, no public bathroom, very limited/distant indoor dining, regular cleaning, small staff …"
