,Unnamed: 0,City,title,company,salary,summary
38,38,"Atlanta, GA","Coordinator, Diversity, Equity and Inclusion Advocacy",Delta,,"Research, study and analyze data and business cases related to social trends.A successful candidate will have a deep understanding of social change work and…"
39,39,"Atlanta, GA",Resident 1st Yr GME Program,WellStar Health System Inc,,"Resident at Wellstar Atlanta Medical Center.MD or DO degree, NRMP Resident MATCH with sponsoring institution."
40,40,"Atlanta, GA",Order Picker/Package Handler - Full Time,"Animal ID Solutions, Inc.","$3,000 - $3,500 a month","Career development: * Many of our entry-level employees become leaders in operations, HR, and other areas.Candidates must be 18 years or older with the ability…"
41,41,"Atlanta, GA",Supply Attendant,Delta,,Responsible for safe operation of mechanical and manual materials handling equipment.Delta Tech Ops division is seeking a Supply Attendant who will be…
42,42,"Atlanta, GA",Receptionist,Ora Academy,"$47,000 - $57,000 a year","Answer a high volume of inbound phone calls, schedule appointments, and transfer calls to various departments.Previous Front Office experience is an asset."
43,43,"Atlanta, GA",Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…"
44,44,"Atlanta, GA",Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
45,45,"Atlanta, GA",Seasonal Warehouse Team Member,Amazon,$15.00 - $16.30 an hour,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
46,46,"Atlanta, GA",Amazon In-Store Shopper (Night Shifts Available),Amazon,From $15 an hour,"Overnight, Early Morning, Day, Evening, Weekend.From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a variety of…"
47,47,"Atlanta, GA",Amazon Warehouse Assistant (Different Shifts Available) - Ea...,Amazon,Up to $690 a week,"Overnight, Early Morning, Day, Evening, Weekend.From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a variety of…"
48,48,"Atlanta, GA",CRNA,Allspine Surgery Center,"$175,000 - $215,000 a year","Providing general anesthesia and MAC/sedation to outpatient surgical cases (spine, pain management).Sanitizing, disinfecting, or cleaning procedures in place."
49,49,"Atlanta, GA",Planning Manager - Construction,Pivotal Retail Group,"$45,000 - $55,000 a year","Pivotal Retail Group is a full-spectrum program planning & implementation company, performing a wide variety of store support professional & in-store field…"
50,50,"Atlanta, GA",Superintendent - Sheet Metal Roofing,"The Roof Depot, Inc","$50,000 - $60,000 a year",Must have a driver’s license and a clean driving required and be able to pass our driver eligibility requirements.Must be able to climb ladders.
51,51,"Atlanta, GA",,Maximus,$16 - $17 an hour,Agents will answer incoming calls from the public related to COVID-19 vaccination scheduling.Strong data entry and telephone skills.
52,52,"Atlanta, GA",Call Center Representative | Paid Weekly | Start Today,"Global Sun Pools, Inc.",$12 - $18 an hour,"All calls are warm inbound/outbound calls.Open 7-days a week.Relaxed, positive, competitive, and fun work environment scheduling appointments with customers…"
53,53,"Atlanta, GA",Food Runner,Poor Calvin's,$8 - $9 an hour,"Properly deliver food to guest using the open body technique.Job Types: Full-time, Part-time.Restaurant Experience: 1 year (Preferred)."
54,54,"Atlanta, GA",COVID-19 Vaccination Call Center Rep - Remote / Work from Ho...,Maximus,$16 - $17 an hour,Agents will answer incoming calls from the public related to COVID-19 vaccination scheduling.Strong data entry and telephone skills.
55,55,"Atlanta, GA",Cash Operations Specialist I/II (Shift M-Th 5:30am-4:30pm/6:...,Federal Reserve Bank of Atlanta,,Obtains counterfeit certification and is able to physically detect counterfeits and altered notes through manual inspection.Full-time / Part-time Full-time.
56,56,"Atlanta, GA",Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
57,57,"Atlanta, GA","Coordinator, Diversity, Equity and Inclusion Advocacy",Delta,,"Research, study and analyze data and business cases related to social trends.A successful candidate will have a deep understanding of social change work and…"
58,58,"Atlanta, GA","Customer Service Representative - Remote within Atlanta, GA",UnitedHealth Group,,Answer 50-70 incoming phone calls per day from customers and identify the type of assistance the customer needs.We offer 5 weeks of paid training.
59,59,"Atlanta, GA",PSE SALES & SVCS/DISTRIBUTION ASSOCIATE,United States Postal Service,$18.49 an hour,"Orally refers to expressing spoken ideas or facts clearly and logically when answering questions, giving instructions, and.At the level required by the job."
60,60,"Atlanta, GA",Supply Attendant,Delta,,Responsible for safe operation of mechanical and manual materials handling equipment.Delta Tech Ops division is seeking a Supply Attendant who will be…
61,61,"Atlanta, GA",Seasonal Warehouse Team Member,Amazon,$15.00 - $16.30 an hour,"If you need flexibility in your schedule, this job allows you to choose from available shifts each week to create your own.Work a set, full-time schedule."
62,62,"Atlanta, GA",Amazon In-Store Shopper (Night Shifts Available),Amazon,From $15 an hour,"Overnight, Early Morning, Day, Evening, Weekend.From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a variety of…"
63,63,"Atlanta, GA",Amazon Warehouse Assistant (Different Shifts Available) - Ea...,Amazon,Up to $690 a week,"Overnight, Early Morning, Day, Evening, Weekend.From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a variety of…"
64,64,"Atlanta, GA",Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
65,65,"Atlanta, GA",,Maximus,$16 - $17 an hour,Agents will answer incoming calls from the public related to COVID-19 vaccination scheduling.Strong data entry and telephone skills.
66,66,"Atlanta, GA",Amazon Order Filler (Night Shifts Available),Amazon,From $15 an hour,"Overnight, Early Morning, Day, Evening, Weekend.From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a variety of…"
67,67,"Atlanta, GA",Class B Local Truck Drivers Starting at $20.82 hr,R+L Carriers,,1 yr verifiable Class B driving experience within the past 3 years.R+L Carriers offers an excellent compensation and comprehensive benefits package that…
68,68,"Atlanta, GA",Registered Nurse (RN),"Serenity House Detox Palm Beach,",$30 an hour,"Ability to define problems, collect data, establish facts and draw valid conclusions from a wide variety of data and deal with several abstract and concrete…"
69,69,"Atlanta, GA",COVID-19 Vaccination Call Center Rep - Remote / Work from Ho...,Maximus,$16 - $17 an hour,Agents will answer incoming calls from the public related to COVID-19 vaccination scheduling.Strong data entry and telephone skills.
70,70,"Atlanta, GA",CITY CARRIER ASSISTANT,United States Postal Service,$17.29 an hour,"DRIVING REQUIRED: Applicants must have a valid state driver’s license, a safe driving record, and at least two years of.Registered and certain insured mail."
71,71,"Atlanta, GA","Coordinator, Diversity, Equity and Inclusion Advocacy",Delta,,"Research, study and analyze data and business cases related to social trends.A successful candidate will have a deep understanding of social change work and…"
72,72,"Atlanta, GA",Resident 1st Yr GME Program,WellStar Health System Inc,,"Resident at Wellstar Atlanta Medical Center.MD or DO degree, NRMP Resident MATCH with sponsoring institution."
